date,adj_close,ticker
2015-01-02,114.08,GLD
2015-01-05,115.8,GLD
2015-01-06,117.12,GLD
2015-01-07,116.43,GLD
2015-01-08,115.94,GLD
2015-01-09,117.26,GLD
2015-01-12,118.56,GLD
2015-01-13,118.16,GLD
2015-01-14,117.97,GLD
2015-01-15,120.94,GLD
2015-01-16,122.52,GLD
2015-01-20,124.2,GLD
2015-01-21,124.23,GLD
2015-01-22,125.23,GLD
2015-01-23,124.23,GLD
2015-01-26,122.99,GLD
2015-01-27,124.4,GLD
2015-01-28,123.42,GLD
2015-01-29,120.76,GLD
2015-01-30,123.45,GLD
2015-02-02,122.42,GLD
2015-02-03,121.05,GLD
2015-02-04,121.58,GLD
2015-02-05,121.79,GLD
2015-02-06,118.64,GLD
2015-02-09,119.17,GLD
2015-02-10,118.47,GLD
2015-02-11,117.07,GLD
2015-02-12,117.34,GLD
2015-02-13,117.98,GLD
2015-02-17,116.01,GLD
2015-02-18,116.34,GLD
2015-02-19,115.94,GLD
2015-02-20,115.28,GLD
2015-02-23,115.43,GLD
2015-02-24,115.26,GLD
2015-02-25,115.7,GLD
2015-02-26,116.07,GLD
2015-02-27,116.16,GLD
2015-03-02,115.68,GLD
2015-03-03,115.47,GLD
2015-03-04,115.11,GLD
2015-03-05,115.0,GLD
2015-03-06,111.86,GLD
2015-03-09,111.97,GLD
2015-03-10,111.42,GLD
2015-03-11,110.75,GLD
2015-03-12,110.72,GLD
2015-03-13,110.88,GLD
2015-03-16,110.81,GLD
2015-03-17,110.21,GLD
2015-03-18,112.37,GLD
2015-03-19,112.29,GLD
2015-03-20,113.57,GLD
2015-03-23,114.29,GLD
2015-03-24,114.57,GLD
2015-03-25,114.73,GLD
2015-03-26,115.48,GLD
2015-03-27,115.06,GLD
2015-03-30,113.75,GLD
2015-03-31,113.66,GLD
2015-04-01,115.6,GLD
2015-04-02,115.28,GLD
2015-04-06,116.69,GLD
2015-04-07,116.11,GLD
2015-04-08,115.47,GLD
2015-04-09,114.67,GLD
2015-04-10,115.97,GLD
2015-04-13,115.14,GLD
2015-04-14,114.44,GLD
2015-04-15,115.43,GLD
2015-04-16,115.03,GLD
2015-04-17,115.6,GLD
2015-04-20,114.72,GLD
2015-04-21,115.38,GLD
2015-04-22,113.83,GLD
2015-04-23,114.66,GLD
2015-04-24,113.05,GLD
2015-04-27,115.33,GLD
2015-04-28,116.33,GLD
2015-04-29,115.51,GLD
2015-04-30,113.47,GLD
2015-05-01,113.08,GLD
2015-05-04,114.1,GLD
2015-05-05,114.42,GLD
2015-05-06,114.36,GLD
2015-05-07,113.42,GLD
2015-05-08,113.97,GLD
2015-05-11,113.53,GLD
2015-05-12,114.5,GLD
2015-05-13,116.55,GLD
2015-05-14,117.18,GLD
2015-05-15,117.53,GLD
2015-05-18,117.52,GLD
2015-05-19,115.89,GLD
2015-05-20,116.08,GLD
2015-05-21,115.69,GLD
2015-05-22,115.6,GLD
2015-05-26,113.91,GLD
2015-05-27,113.89,GLD
2015-05-28,114.02,GLD
2015-05-29,114.1,GLD
2015-06-01,114.0,GLD
2015-06-02,114.46,GLD
2015-06-03,113.64,GLD
2015-06-04,112.84,GLD
2015-06-05,112.24,GLD
2015-06-08,112.57,GLD
2015-06-09,112.82,GLD
2015-06-10,113.78,GLD
2015-06-11,113.26,GLD
2015-06-12,113.23,GLD
2015-06-15,113.73,GLD
2015-06-16,113.32,GLD
2015-06-17,113.85,GLD
2015-06-18,115.32,GLD
2015-06-19,115.12,GLD
2015-06-22,113.64,GLD
2015-06-23,112.89,GLD
2015-06-24,112.59,GLD
2015-06-25,112.44,GLD
2015-06-26,112.56,GLD
2015-06-29,113.07,GLD
2015-06-30,112.37,GLD
2015-07-01,111.98,GLD
2015-07-02,111.76,GLD
2015-07-06,112.06,GLD
2015-07-07,110.76,GLD
2015-07-08,111.09,GLD
2015-07-09,111.36,GLD
2015-07-10,111.49,GLD
2015-07-13,110.99,GLD
2015-07-14,110.74,GLD
2015-07-15,110.16,GLD
2015-07-16,109.76,GLD
2015-07-17,108.65,GLD
2015-07-20,105.7,GLD
2015-07-21,105.37,GLD
2015-07-22,104.8,GLD
2015-07-23,104.33,GLD
2015-07-24,105.35,GLD
2015-07-27,104.86,GLD
2015-07-28,105.02,GLD
2015-07-29,105.17,GLD
2015-07-30,104.27,GLD
2015-07-31,104.93,GLD
2015-08-03,104.1,GLD
2015-08-04,104.31,GLD
2015-08-05,103.93,GLD
2015-08-06,104.39,GLD
2015-08-07,104.65,GLD
2015-08-10,105.72,GLD
2015-08-11,106.26,GLD
2015-08-12,107.75,GLD
2015-08-13,106.86,GLD
2015-08-14,106.85,GLD
2015-08-17,107.13,GLD
2015-08-18,107.11,GLD
2015-08-19,108.55,GLD
2015-08-20,110.44,GLD
2015-08-21,111.13,GLD
2015-08-24,110.53,GLD
2015-08-25,109.16,GLD
2015-08-26,107.67,GLD
2015-08-27,107.73,GLD
2015-08-28,108.7,GLD
2015-08-31,108.82,GLD
2015-09-01,109.2,GLD
2015-09-02,108.62,GLD
2015-09-03,107.84,GLD
